Links,Names,Ratings,Price_For_Two,Cuisine,Opening_And_Closing time,Location,Signature_Dishes,Special_Features,Safety_Measures,Address,More_Info,latitude,longitude,Opening _And_Closing time
https://www.zomato.com/visakhapatnam/vista-the-park-chinna-waltair-vizag/info,Vista - The Park,4.2,2000,"American, North Indian, Thai, Continental, Desserts",6:30am – 12midnight (Today),"The Park, Lawsons Bay, Vizag",Not available,"View, Great Place, Ambiance, Menu, Price, Quantity",Daily Temp. Checks,"Hotel GreenPark, Waltair Main Road, Waltair Uplands, Vizag","Home Delivery, Buffet, Family Friendly, Table booking recommended, Indoor Seating, Desserts and Bakes",16.422382,79.208653,6:30am – 12am
https://www.zomato.com/visakhapatnam/the-square-hotel-novotel-maharani-peta-vizag/info,The Square - Hotel Novotel,4.1,3000,"Continental, North Indian",6:30am – 1am (Today),"Hotel Novotel, Maharani Peta, Vizag",Not available,"Cooking Stations, Sophisticated, Worth the Price, Live Music, Beach View, Great Service",Daily Temp. Checks,"15-3-22 & 222, Block 4, Nowroji Road, Ramakrishnanabeach, Maharani Peta, Vizag","Breakfast, Home Delivery, Takeaway Available, Vegetarian Only, Indoor Seating, Desserts and Bakes",37.3884345,-1.940815749,6:30am – 1am
https://www.zomato.com/visakhapatnam/abs-absolute-barbecues-dwaraka-nagar-vizag/info,AB's - Absolute Barbecues,4.4,1650,"Biryani, BBQ, Kebab, North Indian, Desserts","11:30am – 4:30pm, 6:30pm – 11:30pm (Today)","Dwaraka Nagar, Vizag",Not available,"Excellent Food Service, Complimentary Drinks, Service is Great, Themed Decor, Good Options, Outstanding Service",Daily Temp. Checks,"10-28-3, Waltair Main Road, Waltair Uplands, Vizag","Home Delivery, Takeaway Available, Valet Parking Available, Indoor Seating, Buffet, Outdoor Seating, Table booking recommended, Kid Friendly, Desserts and Bakes",17.720888,83.312397,"11:30am – 4:30pm, 6:30pm – 11:30pm"
https://www.zomato.com/visakhapatnam/kai-welcomhotel-grand-bay-maharani-peta-vizag/info,KAI - WelcomHotel Grand Bay,4.4,3500,"Asian, Thai, Japanese, Seafood, Sushi, Chinese, Desserts, Beverages","12:30pm – 2:45pm, 7pm – 11:30pm (Today)","Welcomhotel By ITC Hotels, Devee Grand Bay, Vizag",Not available,"Outstanding Service, Warm Welcome, Authentic Food, Brunch, Comfortable Seating Area, Themed Decor",Daily Temp. Checks,"9-14-4, VIP Road, CBM Compound, Sector 4, Siripuram, Visakhapatnam, Waltair Uplands, Vizag","Breakfast, Takeaway Available, Brunch, Indoor Seating, Table booking recommended",17.727816,83.305019,"12:30pm – 2:45pm, 7pm – 11:30pm"
https://www.zomato.com/visakhapatnam/barbeque-nation-siripuram-vizag/info,Barbeque Nation,4.3,1600,"North Indian, BBQ, Biryani, Kebab, Continental, Chinese, Beverages, Desserts","11:30am – 4:30pm, 6:30pm – 11:30pm (Today)","Siripuram, Vizag",Not available,"Cute Packaging, Food Presentation, Worth the Money, Great Portions, Timely Service, Delicious Food",Daily Temp. Checks,"9-30-1, Plot 25, 1st Floor, Near PMJ Jewellers, Siripuram, Vizag","Takeaway Available, Full Bar Available, Table booking recommended, Indoor Seating",17.728801,83.316116,"11:30am – 4:30pm, 6:30pm – 11:30pm"
https://www.zomato.com/visakhapatnam/mekong-hotel-greenpark-waltair-uplands-vizag/info,Mekong - Hotel GreenPark,4.8,2500,"Asian, Thai, Oriental, Chinese, Japanese, Desserts","12noon – 3pm, 7pm – 10:45pm (Today)","Hotel GreenPark, Vizag, Vizag",Not available, ,Daily Temp. Checks,"Beach Road, Maharani Peta, Vizag","Home Delivery, Takeaway Available, Vegetarian Only, Desserts and Bakes, Indoor Seating",17.7032252,83.3077372,"12pm – 3pm, 7pm – 10:45pm"
https://www.zomato.com/visakhapatnam/the-eatery-four-points-by-sheraton-waltair-uplands/info,The Eatery - Four Points By Sheraton,4.1,2500,"North Indian, Chinese, Mexican, Continental, Biryani, Fast Food, Desserts, Beverages","7am – 10:30am, 12noon – 3:30pm, 7pm – 10:30pm (Today)","Four Points By Sheraton, Waltair Uplands, Vizag",Not available,"Buffet Variety and Quality, Great for Dates, Extensive Food Menu, More Variety, Atmosphere, Great Service",Daily Temp. Checks,"10-4-15, 2nd Floor, Navaratna Trade Center, Ram Nagar, Vizag","Home Delivery, Takeaway Available, Indoor Seating",16.422382,79.208653,"7am – 10:30am, 12pm – 3:30pm, 7pm – 10:30pm"
https://www.zomato.com/visakhapatnam/zaffran-hotel-novotel-maharani-peta-vizag/info,Zaffran - Hotel Novotel,4.5,3000,"North Indian, Mughlai, Biryani, Desserts, Beverages","12:30pm – 3:30pm, 7pm – 11pm (Today)","Hotel Novotel, Maharani Peta, Vizag",Not available,"Singer, Sophisticated, Live Music, Great Service, View, Table",Not available,"47-3-12, 5th Lane, Dondaparithy, Vizag","Takeaway Available, Full Bar Available, Party Music, Craft Beer, Indoor Seating",17.728801,83.316116,"12:30pm – 3:30pm, 7pm – 11pm"
https://www.zomato.com/visakhapatnam/amritsar-haveli-ram-nagar-vizag/info,Amritsar Haveli,3.5,1200,"North Indian, Chinese, Desserts, Beverages","11:45am – 3:30pm, 7pm – 10:30pm (Today)","Ram Nagar, Vizag",Not available,"View, Great Place, Ambiance, Menu, Price, Quantity",Not available,"Hotel GreenPark, Waltair Main Road, Waltair Uplands, Vizag","Home Delivery, Buffet, Family Friendly, Table booking recommended, Indoor Seating, Desserts and Bakes",16.422382,79.208653,"11:45am – 3:30pm, 7pm – 10:30pm"
https://www.zomato.com/visakhapatnam/paradise-biryani-a-legend-since-1953-waltair-uplands-vizag/info,Paradise Biryani - A Legend Since 1953,4.0,850,"Biryani, Kebab, North Indian, Rolls, Desserts, Chinese",11am – 11pm (Today),"Waltair Uplands, Vizag",Not available,"Cooking Stations, Sophisticated, Worth the Price, Live Music, Beach View, Great Service",Not available,"D 9-14-2, Block . 1, Greater Visakhapatnam Asilmetta, Vizag","Breakfast, Home Delivery, Takeaway Available, Vegetarian Only, Indoor Seating, Desserts and Bakes",40.145484,-98.306586,11am – 11pm
